Product ID,Category,Product Name,Price,Delivery,Product URL
7235457880,food,"오뚜기 맛있는 오뚜기밥, 210g, 24개","19,350",내일(화) 도착 보장,https://www.coupang.com/vp/products/7235457880?itemId=19518631622&vendorItemId=3050972695&sourceType=CATEGORY&categoryId=194176
14111627,food,"오뚜기 진라면 매운맛, 40개","21,580",내일(화) 도착 보장,https://www.coupang.com/vp/products/14111627?itemId=19421767892&vendorItemId=3054076262&sourceType=CATEGORY&categoryId=194176
6654766761,food,"블루다이아몬드 아몬드 브리즈 오리지널, 190ml, 24개","14,120",내일(화) 도착 보장,https://www.coupang.com/vp/products/6654766761?itemId=15613010702&vendorItemId=3006697063&sourceType=CATEGORY&categoryId=194176
7329614637,food,"티젠 콤부차 레몬, 5g, 50개입, 1개","15,100",내일(화) 도착 보장,https://www.coupang.com/vp/products/7329614637?itemId=21338004668&vendorItemId=80080064236&sourceType=CATEGORY&categoryId=194176
6930792814,food,"오뚜기 열라면, 40개","21,400",내일(화) 도착 보장,https://www.coupang.com/vp/products/6930792814?itemId=42897124&vendorItemId=3066896620&sourceType=CATEGORY&categoryId=194176
7525033092,food,"맥심 모카골드 마일드 커피믹스, 12g, 160개입, 2박스","42,200",내일(화) 도착 보장,https://www.coupang.com/vp/products/7525033092?itemId=29650653&vendorItemId=85072690879&sourceType=CATEGORY&categoryId=194176
7646920,food,"블루다이아몬드 아몬드브리즈 초콜렛 두유, 190ml, 24개","17,790",내일(화) 도착 보장,https://www.coupang.com/vp/products/7646920?itemId=21317452329&vendorItemId=3030343482&sourceType=CATEGORY&categoryId=194176
7075663719,food,"팔도비빔면, 20개","12,960",내일(화) 도착 보장,https://www.coupang.com/vp/products/7075663719?itemId=15330449255&vendorItemId=85072690721&sourceType=CATEGORY&categoryId=194176
5829376555,food,"양반 현미밥, 130g, 24개","19,220",내일(화) 도착 보장,https://www.coupang.com/vp/products/5829376555?itemId=10083400939&vendorItemId=77366283081&sourceType=CATEGORY&categoryId=194176
4975075206,food,"서울우유 멸균 흰우유, 1L, 10개","18,050",내일(화) 도착 보장,https://www.coupang.com/vp/products/4975075206?itemId=18639195957&vendorItemId=3001406678&sourceType=CATEGORY&categoryId=194176
6047357200,food,"만나 미국 레몬, 4kg, 1개","25,050",내일(화) 새벽 도착 보장,https://www.coupang.com/vp/products/6047357200?itemId=11073929100&vendorItemId=78353396104&sourceType=CATEGORY&categoryId=194176
7235457880,food,"오뚜기 맛있는 오뚜기밥, 210g, 36개","25,960",내일(화) 도착 보장,https://www.coupang.com/vp/products/7235457880?itemId=16059698868&vendorItemId=81917799353&sourceType=CATEGORY&categoryId=194176
1241463834,food,"고래사어묵 도톰하고 쫄깃한 꼬치어묵 22개입 (냉동), 949g, 1개","15,000",내일(화) 새벽 도착 보장,https://www.coupang.com/vp/products/1241463834?itemId=2237178489&vendorItemId=70234172332&pickType=COU_PICK&sourceType=CATEGORY&categoryId=194176
7251153411,food,"당도선별 11brix 수박, 6kg 미만, 1개","15,500",내일(화) 새벽 도착 보장,https://www.coupang.com/vp/products/7251153411?itemId=18445851050&vendorItemId=85586788429&sourceType=CATEGORY&categoryId=194176
7411095382,food,"tft 더단백 드링크 초코, 250ml, 18개","24,580",내일(화) 도착 보장,https://www.coupang.com/vp/products/7411095382?itemId=13466502453&vendorItemId=76137436686&sourceType=CATEGORY&categoryId=194176
2146209127,food,"곰곰 곤약젤리 후르츠 패키지 28팩 복숭아 150g x 7p + 와일드 망고 150g x 7p + 청포도 150g x 7p + 리치 150g x 7p, 1세트","14,990",내일(화) 도착 보장,https://www.coupang.com/vp/products/2146209127?itemId=3644223962&vendorItemId=71629734258&sourceType=CATEGORY&categoryId=194176
6830320694,food,"스파클 생수 무라벨, 500ml, 200개","36,860",내일(화) 도착 예정,https://www.coupang.com/vp/products/6830320694?itemId=18184885870&vendorItemId=83406358934&sourceType=CATEGORY&categoryId=194176
5625704601,food,"탐사수 무라벨, 500ml, 80개","15,990",내일(화) 도착 보장,https://www.coupang.com/vp/products/5625704601?itemId=19013169967&vendorItemId=86137790400&sourceType=CATEGORY&categoryId=194176
